,id,example,description
0,__deepcopy__,Faker().__deepcopy__(),No docstring available
1,__dir__,Faker().__dir__(),Default dir() implementation.
2,__getattr__,Faker().__getattr__(),"Handles cache access and proxying behavior

:param attr: attribute name
:return: the appropriate attribute"
3,__getattribute__,Faker().__getattribute__(),"Handles the ""attribute resolution"" behavior for declared members of this proxy class

The class method `seed` cannot be called from an instance.

:param attr: attribute name
:return: the appropriate attribute"
4,__getitem__,Faker().__getitem__(),No docstring available
5,__init__,Faker().__init__(),Initialize self.  See help(type(self)) for accurate signature.
6,__setstate__,Faker().__setstate__(),No docstring available
7,_map_provider_method,Faker()._map_provider_method(),"Creates a 2-tuple of factories and weights for the given provider method name

The first element of the tuple contains a list of compatible factories.
The second element of the tuple contains a list of distribution weights.

:param method_name: Name of provider method
:return: 2-tuple (factories, weights)"
8,_select_factory,Faker()._select_factory(),"Returns a random factory that supports the provider method

:param method_name: Name of provider method
:return: A factory that supports the provider method"
9,_select_factory_choice,Faker()._select_factory_choice(),No docstring available
10,_select_factory_distribution,Faker()._select_factory_distribution(),No docstring available
11,aba,Faker().aba(),Generate an ABA routing transit number.
13,address,Faker().address(),":example: '791 Crist Parks, Sashabury, IL 86039-9874'"
14,administrative_unit,Faker().administrative_unit(),No docstring available
15,am_pm,Faker().am_pm(),No docstring available
16,android_platform_token,Faker().android_platform_token(),Generate an Android platform token used in user agent strings.
17,ascii_company_email,Faker().ascii_company_email(),No docstring available
18,ascii_email,Faker().ascii_email(),No docstring available
19,ascii_free_email,Faker().ascii_free_email(),No docstring available
20,ascii_safe_email,Faker().ascii_safe_email(),No docstring available
21,bank_country,Faker().bank_country(),Generate the bank provider's ISO 3166-1 alpha-2 country code.
22,basic_phone_number,Faker().basic_phone_number(),No docstring available
23,bban,Faker().bban(),Generate a Basic Bank Account Number (BBAN).
25,boolean,Faker().boolean(),"Generate a random boolean value based on ``chance_of_getting_true``.

:sample: chance_of_getting_true=25
:sample: chance_of_getting_true=50
:sample: chance_of_getting_true=75"
26,bothify,Faker().bothify(),"Generate a string with each placeholder in ``text`` replaced according to the following rules:

- Number signs ('#') are replaced with a random digit (0 to 9).
- Question marks ('?') are replaced with a random character from ``letters``.

By default, ``letters`` contains all ASCII letters, uppercase and lowercase.

Under the hood, this method uses :meth:`numerify() <faker.providers.BaseProvider.numerify>` and
and :meth:`lexify() <faker.providers.BaseProvider.lexify>` to generate random values for number
signs and question marks respectively.

:sample: letters='ABCDE'
:sample: text='Product Number: ????-########'
:sample: text='Product Number: ????-########', letters='ABCDE'"
27,bs,Faker().bs(),:example: 'integrate extensible convergence'
28,building_number,Faker().building_number(),:example: '791'
29,catch_phrase,Faker().catch_phrase(),:example: 'Robust full-range hub'
